Dataset,Initial-0.15,Initial-0.25,Initial-0.35,Initial-0.45,Initial-0.55,Initial-0.65,Initial-0.75,Initial-0.85,Initial-1,Refined-0.15,Refined-0.25,Refined-0.35,Refined-0.45,Refined-0.55,Refined-0.65,Refined-0.75,Refined-0.85,Refined-1
7z,0,8,11,11,17,23,24,33,34,48,50,50,50,50,50,51,60,75
A2C_Acrobot,0,0,0,0,0,0,2,7,22,0,0,0,1,2,9,23,44,60
A2C_CartPole,0,0,0,0,0,0,0,3,10,0,0,0,1,14,34,44,53,72
Apache_AllMeasurements,0,0,1,5,14,22,25,28,41,11,15,21,25,28,42,43,48,53
BDBC,5,11,20,34,50,56,56,59,71,56,56,56,73,85,100,100,100,100
BankChurners,0,0,0,0,0,0,0,4,22,0,0,14,30,33,36,47,65,87
Car_price_cleaned,0,0,0,0,0,0,1,4,18,0,0,0,6,23,37,47,54,61
Data_COVID19_Indonesia,0,0,0,0,2,2,5,9,11,24,32,45,64,78,86,92,93,95
FFM-1000-200-0.50-SAT-1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,5,17,35,76
FFM-125-25-0.50-SAT-1,0,0,0,0,0,0,0,1,17,0,0,1,2,13,30,53,74,96
FFM-250-50-0.50-SAT-1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,7,17,44
FFM-500-100-0.50-SAT-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,15,67
FM-500-100-0.25-SAT-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,32,78
FM-500-100-0.50-SAT-1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,44,71,98
FM-500-100-0.75-SAT-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,16,45,85
FM-500-100-1.00-SAT-1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,12,42,87
HSMGP_num,0,0,0,0,0,1,8,11,12,0,15,24,27,38,51,71,89,100
HSQLDB,0,0,0,0,2,9,22,55,92,4,19,44,60,69,74,75,88,98
Health-ClosedIssues0000,0,3,6,6,27,31,58,63,71,0,37,59,60,75,93,100,100,100
Health-ClosedIssues0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Health-ClosedIssues0002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,22,46
Health-ClosedIssues0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health-ClosedIssues0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Health-ClosedIssues0005,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,24
Health-ClosedIssues0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,45,62
Health-ClosedIssues0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health-ClosedIssues0008,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14
Health-ClosedIssues0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health-ClosedIssues0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health-ClosedIssues0011,0,0,0,0,1,10,17,30,65,0,0,0,0,0,0,6,14,58
Health-ClosedPRs0000,0,0,0,0,0,11,38,80,100,100,100,100,100,100,100,100,100,100
Health-ClosedPRs0002,0,0,0,0,0,0,0,0,0,1,6,6,8,9,13,25,33,64
Health-ClosedPRs0003,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,13
Health-ClosedPRs0004,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,37,56,69
Health-ClosedPRs0005,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,4,35
