dataset,init_min_jaccard,init_max_jaccard,init_mean_jaccard,rfn_min_jaccard,rfn_max_jaccard,rfn_mean_jaccard
WA_Fn-UseC_-HR-Employee-Attrition,0.00,0.47,0.16,0.05,0.54,0.31
all_players,0.00,0.56,0.10,0.00,0.41,0.17
player_statistics_cleaned_final,0.00,0.44,0.14,0.00,0.65,0.27
student_dropout,0.15,0.68,0.34,0.27,0.76,0.57
FFM-1000-200-0.50-SAT-1,0.00,0.51,0.21,0.15,0.64,0.37
FFM-125-25-0.50-SAT-1,0.00,0.48,0.22,0.17,0.66,0.36
FFM-250-50-0.50-SAT-1,0.00,0.61,0.21,0.22,0.66,0.40
FFM-500-100-0.50-SAT-1,0.00,0.61,0.20,0.18,0.84,0.39
FM-500-100-0.25-SAT-1,0.00,0.81,0.23,0.12,0.66,0.33
FM-500-100-0.50-SAT-1,0.00,0.69,0.29,0.20,0.64,0.38
FM-500-100-0.75-SAT-1,0.00,0.56,0.22,0.17,0.63,0.39
FM-500-100-1.00-SAT-1,0.00,0.56,0.22,0.07,0.62,0.33
Scrum100k,0.00,0.58,0.21,0.12,0.70,0.35
Scrum10k,0.00,0.54,0.21,0.14,0.60,0.32
Scrum1k,0.04,0.69,0.32,0.20,0.80,0.50
billing10k,0.05,0.63,0.23,0.12,0.73,0.35
Apache_AllMeasurements,0.10,0.85,0.45,0.33,0.83,0.58
HSMGP_num,0.12,0.95,0.46,0.37,0.88,0.64
SQL_AllMeasurements,0.00,0.82,0.09,0.26,0.77,0.46
SS-A,0.09,0.93,0.49,0.40,0.97,0.70
SS-B,0.08,0.96,0.58,0.60,0.99,0.82
SS-C,0.08,0.95,0.56,0.41,0.95,0.67
SS-D,0.28,0.93,0.58,0.53,0.93,0.75
SS-E,0.20,0.95,0.62,0.39,0.94,0.67
SS-F,0.17,0.93,0.54,0.50,0.96,0.73
SS-G,0.23,0.97,0.58,0.54,0.98,0.79
SS-H,0.08,1.00,0.57,0.53,0.96,0.77
SS-I,0.24,0.90,0.51,0.33,0.86,0.64
SS-J,0.11,0.81,0.43,0.24,0.87,0.57
SS-K,0.00,0.82,0.37,0.32,0.95,0.59
SS-L,0.00,0.89,0.30,0.20,0.83,0.51
