Dataset,Init,Rfn,best-Init,best-Rfn,Init-sd,Rfn-sd
7z, 2, 1,1,1, 3.90, 3.87
A2C_Acrobot, 32, 25,1,1, 18.57, 19.10
A2C_CartPole, 8, 8,1,1, 37.21, 37.89
Apache_AllMeasurements, 6, 0,0,1, 7.69, 5.06
BDBC, 1, 1,1,1, 1.10, 0.86
BankChurners, 35, 29,0,1, 19.05, 8.84
Car_price_cleaned, 52, 0,0,1, 30.71, 18.82
Data_COVID19_Indonesia, 44, 18,0,1, 21.74, 12.03
FFM-1000-200-0.50-SAT-1, 32, 30,0,1, 19.32, 16.14
FFM-125-25-0.50-SAT-1, 44, 27,0,1, 16.02, 13.18
FFM-250-50-0.50-SAT-1, 42, 42,1,1, 15.94, 16.11
FFM-500-100-0.50-SAT-1, 35, 39,1,1, 14.02, 16.15
FM-500-100-0.25-SAT-1, 37, 34,1,1, 15.37, 15.23
FM-500-100-0.50-SAT-1, 43, 43,1,1, 21.76, 18.00
FM-500-100-0.75-SAT-1, 48, 39,0,1, 17.34, 13.15
FM-500-100-1.00-SAT-1, 30, 32,1,1, 15.01, 12.62
HSMGP_num, 3, 2,1,1, 4.25, 3.70
HSQLDB, 2, 0,0,1, 6.02, 0.69
Health-ClosedIssues0000, 17, 17,1,1, 14.90, 7.22
Health-ClosedIssues0001, 59, 58,1,1, 12.02, 14.38
Health-ClosedIssues0002, 22, 22,1,1, 6.80, 0.00
Health-ClosedIssues0003, 39, 30,0,1, 24.56, 21.33
Health-ClosedIssues0004, 62, 63,1,1, 18.52, 17.82
Health-ClosedIssues0005, 41, 39,1,1, 11.75, 11.25
Health-ClosedIssues0006, 29, 28,1,1, 19.52, 19.48
Health-ClosedIssues0007, 94, 95,1,0, 27.02, 19.86
Health-ClosedIssues0008, 26, 22,0,1, 17.91, 10.57
Health-ClosedIssues0009, 79, 67,0,1, 21.54, 22.51
Health-ClosedIssues0010, 84, 84,1,1, 20.42, 22.97
Health-ClosedIssues0011, 0, 0,1,1, 23.70, 0.00
Health-ClosedPRs0000, 0, 0,1,1, 0.00, 0.00
Health-ClosedPRs0002, 0, 0,1,1, 0.00, 0.00
Health-ClosedPRs0003, 0, 0,1,1, 0.98, 1.01
Health-ClosedPRs0004, 0, 0,1,1, 39.58, 41.19
Health-ClosedPRs0005, 0, 0,1,1, 31.75, 0.00
Health-ClosedPRs0006, 100, 0,0,1, 50.26, 50.20
Health-ClosedPRs0007, 0, 0,1,1, 44.32, 33.24
Health-ClosedPRs0008, 24, 24,1,1, 38.71, 36.95
Health-ClosedPRs0009, 65, 64,1,1, 23.89, 21.17
Health-ClosedPRs0010, 75, 62,0,1, 17.94, 20.50
Health-ClosedPRs0011, 0, 0,1,1, 0.00, 0.00
Health-Commits0000, 29, 24,0,1, 6.41, 8.87
Health-Commits0001, 3, 3,1,1, 39.77, 1.17
Health-Commits0002, 43, 43,1,1, 17.79, 13.83
Health-Commits0003, 76, 49,0,1, 17.78, 21.64
Health-Commits0004, 72, 73,1,1, 26.91, 26.75
Health-Commits0005, 29, 29,1,1, 29.26, 22.75
Health-Commits0006, 40, 56,1,0, 13.97, 13.47
Health-Commits0007, 30, 30,0,1, 40.09, 23.45
Health-Commits0008, 57, 57,1,1, 24.32, 18.00
Health-Commits0009, 28, 29,1,1, 12.05, 11.27
Health-Commits0010, 42, 40,1,1, 9.23, 9.55
Health-Commits0011, 0, 0,1,1, 38.78, 0.00
LLVM, 12, 5,0,1, 13.69, 4.14
Life_Expectancy_Data, 18, 4,0,1, 15.36, 6.68
Loan, 51, 39,0,1, 20.82, 19.20
Marketing_Analytics, 44, 44,1,1, 18.96, 21.39
Medical_Data_and_Hospital_Readmissions, 0, 0,1,1, 0.00, 0.00
PostgreSQL, 8, 7,1,1, 2.90, 3.56
SQL_AllMeasurements, 34, 27,0,1, 14.45, 19.72
SS-A, 12, 0,0,1, 10.70, 7.20
SS-B, 0, 0,1,1, 0.00, 0.00
SS-C, 13, 16,1,1, 10.18, 8.90
SS-D, 32, 26,1,1, 21.69, 21.64
SS-E, 33, 10,0,1, 25.54, 14.55
SS-F, 6, 0,0,1, 21.46, 6.48
SS-G, 25, 18,1,1, 19.54, 17.26
SS-H, 0, 0,0,1, 5.50, 0.22
SS-I, 52, 1,0,1, 28.98, 18.26
SS-J, 8, 4,0,1, 28.15, 2.78
SS-K, 49, 26,0,1, 20.70, 19.44
SS-L, 4, 0,0,1, 24.22, 1.90
SS-M, 1, 1,0,1, 12.61, 1.65
SS-N, 52, 59,1,1, 18.48, 20.48
SS-O, 38, 37,1,1, 22.40, 20.99
SS-P, 10, 48,1,0, 22.24, 23.75
SS-Q, 7, 20,1,0, 12.58, 13.73
SS-R, 24, 22,1,1, 11.59, 10.43
SS-S, 1, 2,1,0, 4.30, 7.01
SS-T, 14, 4,0,1, 17.22, 9.77
SS-U, 7, 14,1,0, 7.39, 6.66
SS-V, 39, 35,0,1, 23.66, 20.06
SS-W, 64, 54,0,1, 16.92, 11.00
SS-X, 43, 34,0,1, 17.90, 2.67
Scrum100k, 54, 39,0,1, 14.38, 16.36
Scrum10k, 41, 29,0,1, 16.62, 16.40
Scrum1k, 30, 19,0,1, 18.22, 17.89
WA_Fn-UseC_-HR-Employee-Attrition, 28, 14,0,1, 17.72, 10.43
WA_Fn-UseC_-Telco-Customer-Churn, 9, 2,0,1, 13.13, 1.85
Wine_quality, 49, 48,1,1, 17.52, 25.02
X264_AllMeasurements, 8, 8,1,1, 6.20, 20.76
accessories, 97, 81,0,1, 17.97, 31.58
all_players, 39, 18,0,1, 15.17, 14.86
auto93, 20, 13,0,1, 13.30, 10.37
billing10k, 34, 38,1,1, 19.52, 21.22
coc1000, 58, 34,0,1, 20.51, 21.56
dataset120, 0, 0,1,1, 43.31, 31.12
dataset600, 0, 0,1,1, 32.10, 14.76
dconvert, 21, 9,1,1, 14.82, 10.59
deeparch, 1, 1,0,1, 14.38, 6.79
dress-up, 99, 9,0,1, 48.23, 48.24
exastencils, 19, 22,1,1, 9.94, 9.86
home_data_for_ml_course, 51, 40,0,1, 23.56, 22.30
javagc, 8, 7,1,1, 3.65, 4.19
nasa93dem, 7, 26,1,0, 20.14, 23.77
player_statistics_cleaned_final, 5, 7,1,1, 10.59, 11.22
pom3a, 35, 23,0,1, 20.24, 16.14
pom3b, 40, 32,1,1, 19.14, 17.34
pom3c, 51, 46,1,1, 20.29, 18.54
pom3d, 15, 22,1,0, 15.51, 18.40
redis, 60, 58,1,1, 19.50, 17.49
rs-6d-c3_obj1, 0, 0,1,1, 4.23, 0.47
rs-6d-c3_obj2, 1, 1,1,1, 0.41, 0.41
socks, 0, 0,1,1, 12.44, 10.26
sol-6d-c2-obj1, 7, 6,0,1, 3.02, 2.69
storm, 1, 1,1,1, 0.45, 0.31
student_dropout, 0, 0,1,1, 36.32, 26.39
wallpaper, 72, 72,1,1, 26.26, 24.81
wc+rs-3d-c4-obj1, 1, 0,1,1, 4.69, 1.60
wc+sol-3d-c4-obj1, 0, 0,0,1, 3.67, 0.72
wc+wc-3d-c4-obj1, 1, 0,1,1, 1.00, 1.60
wc-6d-c1-obj1, 1, 1,0,1, 7.34, 8.35
x264, 50, 35,0,1, 19.48, 17.38
xomo_flight, 25, 14,0,1, 19.08, 6.34
xomo_ground, 26, 19,0,1, 13.09, 10.48
xomo_osp, 34, 16,0,1, 16.15, 8.69
xomo_osp2, 37, 33,1,1, 15.71, 12.74
