dataset,gini,entropy
7z,100,100
A2C_Acrobot,100,100
A2C_CartPole,100,100
Apache_AllMeasurements,61,82
BDBC,98,2
BankChurners,100,100
Car_price_cleaned,100,100
Data_COVID19_Indonesia,100,100
FFM-1000-200-0.50-SAT-1,70,30
FFM-125-25-0.50-SAT-1,48,52
FFM-250-50-0.50-SAT-1,65,35
FFM-500-100-0.50-SAT-1,64,36
FM-500-100-0.25-SAT-1,56,44
FM-500-100-0.50-SAT-1,69,31
FM-500-100-0.75-SAT-1,51,49
FM-500-100-1.00-SAT-1,50,50
HSMGP_num,99,86
HSQLDB,56,44
Health-ClosedIssues0000,100,100
Health-ClosedIssues0001,81,96
Health-ClosedIssues0002,47,53
Health-ClosedIssues0003,100,100
Health-ClosedIssues0004,100,100
Health-ClosedIssues0005,100,100
Health-ClosedIssues0006,100,100
Health-ClosedIssues0007,100,100
Health-ClosedIssues0008,100,100
Health-ClosedIssues0009,100,100
Health-ClosedIssues0010,100,100
Health-ClosedIssues0011,44,67
Health-ClosedPRs0000,100,100
Health-ClosedPRs0002,47,53
Health-ClosedPRs0003,53,47
Health-ClosedPRs0004,90,91
Health-ClosedPRs0005,54,46
Health-ClosedPRs0006,100,100
Health-ClosedPRs0007,86,75
Health-ClosedPRs0008,100,100
Health-ClosedPRs0009,100,100
Health-ClosedPRs0010,100,100
Health-ClosedPRs0011,75,25
Health-Commits0000,100,100
Health-Commits0001,53,47
Health-Commits0002,100,100
Health-Commits0003,100,100
Health-Commits0004,100,100
Health-Commits0005,100,100
Health-Commits0006,100,100
Health-Commits0007,100,100
Health-Commits0008,100,100
Health-Commits0009,100,100
Health-Commits0010,100,100
Health-Commits0011,52,74
LLVM,97,3
Life_Expectancy_Data,100,100
Loan,100,100
Marketing_Analytics,100,100
Medical_Data_and_Hospital_Readmissions,53,47
PostgreSQL,66,87
SQL_AllMeasurements,46,54
SS-A,100,100
SS-B,100,100
SS-C,100,100
SS-D,100,100
SS-E,100,100
SS-F,100,100
SS-G,100,100
SS-H,100,100
SS-I,100,100
SS-J,100,100
SS-K,100,100
SS-L,100,100
SS-M,99,1
SS-N,100,100
SS-O,80,79
SS-P,78,22
SS-Q,96,89
SS-R,79,72
SS-S,100,100
SS-T,89,94
SS-U,40,60
SS-V,72,28
SS-W,84,16
SS-X,98,2
Scrum100k,70,30
Scrum10k,55,45
Scrum1k,53,47
WA_Fn-UseC_-HR-Employee-Attrition,100,100
WA_Fn-UseC_-Telco-Customer-Churn,44,56
Wine_quality,100,100
X264_AllMeasurements,80,20
accessories,48,52
all_players,100,100
auto93,100,100
billing10k,53,47
coc1000,100,100
dataset120,100,100
dataset600,100,100
dconvert,56,44
deeparch,85,15
dress-up,47,53
exastencils,100,100
home_data_for_ml_course,100,100
javagc,70,74
nasa93dem,89,84
player_statistics_cleaned_final,100,100
pom3a,100,100
pom3b,100,100
pom3c,100,100
pom3d,100,100
redis,100,100
rs-6d-c3_obj1,100,100
rs-6d-c3_obj2,100,100
socks,100,100
sol-6d-c2-obj1,100,100
storm,100,100
student_dropout,100,100
wallpaper,100,100
wc+rs-3d-c4-obj1,100,100
wc+sol-3d-c4-obj1,100,100
wc+wc-3d-c4-obj1,100,100
wc-6d-c1-obj1,100,100
x264,100,100
xomo_flight,100,100
xomo_ground,100,100
xomo_osp,100,100
xomo_osp2,100,100
