dataset,gini,entropy
7z,46,46
A2C_Acrobot,0,0
A2C_CartPole,0,0
Apache_AllMeasurements,21,33
BDBC,50,36
BankChurners,11,11
Car_price_cleaned,14,14
Data_COVID19_Indonesia,66,66
FFM-1000-200-0.50-SAT-1,0,0
FFM-125-25-0.50-SAT-1,0,0
FFM-250-50-0.50-SAT-1,0,0
FFM-500-100-0.50-SAT-1,0,0
FM-500-100-0.25-SAT-1,0,0
FM-500-100-0.50-SAT-1,0,0
FM-500-100-0.75-SAT-1,0,0
FM-500-100-1.00-SAT-1,0,0
HSMGP_num,15,15
HSQLDB,27,36
Health-ClosedIssues0000,57,57
Health-ClosedIssues0001,0,0
Health-ClosedIssues0002,0,0
Health-ClosedIssues0003,0,0
Health-ClosedIssues0004,0,0
Health-ClosedIssues0005,0,0
Health-ClosedIssues0006,0,0
Health-ClosedIssues0007,0,0
Health-ClosedIssues0008,0,0
Health-ClosedIssues0009,0,0
Health-ClosedIssues0010,0,0
Health-ClosedIssues0011,0,0
Health-ClosedPRs0000,100,100
Health-ClosedPRs0002,0,0
Health-ClosedPRs0003,0,0
Health-ClosedPRs0004,0,0
Health-ClosedPRs0005,0,0
Health-ClosedPRs0006,0,0
Health-ClosedPRs0007,0,0
Health-ClosedPRs0008,0,0
Health-ClosedPRs0009,0,0
Health-ClosedPRs0010,0,0
Health-ClosedPRs0011,0,0
Health-Commits0000,75,75
Health-Commits0001,0,0
Health-Commits0002,0,0
Health-Commits0003,0,0
Health-Commits0004,0,0
Health-Commits0005,4,4
Health-Commits0006,0,0
Health-Commits0007,20,20
Health-Commits0008,0,0
Health-Commits0009,0,0
Health-Commits0010,0,0
Health-Commits0011,0,0
LLVM,70,0
Life_Expectancy_Data,0,0
Loan,0,0
Marketing_Analytics,0,0
Medical_Data_and_Hospital_Readmissions,0,0
PostgreSQL,2,3
SQL_AllMeasurements,1,0
SS-A,17,17
SS-B,42,42
SS-C,30,30
SS-D,20,20
SS-E,31,31
SS-F,20,20
SS-G,8,8
SS-H,85,85
SS-I,5,5
SS-J,6,6
SS-K,19,19
SS-L,43,43
SS-M,61,16
SS-N,0,0
SS-O,0,0
SS-P,0,0
SS-Q,0,0
SS-R,0,0
SS-S,13,13
SS-T,3,3
SS-U,0,1
SS-V,0,0
SS-W,0,0
SS-X,3,0
Scrum100k,0,0
Scrum10k,0,0
Scrum1k,0,0
WA_Fn-UseC_-HR-Employee-Attrition,0,0
WA_Fn-UseC_-Telco-Customer-Churn,2,0
Wine_quality,0,0
X264_AllMeasurements,2,0
accessories,0,0
all_players,0,0
auto93,5,5
billing10k,0,0
coc1000,0,0
dataset120,2,2
dataset600,4,4
dconvert,1,0
deeparch,4,1
dress-up,0,0
exastencils,0,0
home_data_for_ml_course,0,0
javagc,0,0
nasa93dem,22,18
player_statistics_cleaned_final,25,25
pom3a,0,0
pom3b,0,0
pom3c,0,0
pom3d,0,0
redis,0,0
rs-6d-c3_obj1,51,51
rs-6d-c3_obj2,18,18
socks,18,18
sol-6d-c2-obj1,27,27
storm,32,32
student_dropout,92,92
wallpaper,2,2
wc+rs-3d-c4-obj1,22,22
wc+sol-3d-c4-obj1,22,22
wc+wc-3d-c4-obj1,20,20
wc-6d-c1-obj1,5,5
x264,0,0
xomo_flight,0,0
xomo_ground,0,0
xomo_osp,0,0
xomo_osp2,0,0
