dataset,1.0,3.0,5.0,7.0,9.0
7z,3.41,4.62,5.84,5.86,5.79
A2C_Acrobot,29.42,27.41,29.44,30.59,27.79
A2C_CartPole,51.79,48.19,51.29,54.91,49.28
Apache_AllMeasurements,2.32,1.34,2.2,4.2,5.51
BDBC,0.63,1.14,1.18,1.2,1.26
BankChurners,29.63,28.46,28.35,30.49,33.34
Car_price_cleaned,26.46,27.06,28.84,32.12,35.16
Data_COVID19_Indonesia,18.82,18.33,20.74,22.54,25.22
FFM-1000-200-0.50-SAT-1,23.95,20.8,25.41,30.24,33.57
FFM-125-25-0.50-SAT-1,20.14,20.96,26.49,23.15,30.75
FFM-250-50-0.50-SAT-1,20.97,23.03,25.25,31.24,33.36
FFM-500-100-0.50-SAT-1,24.1,26.14,30.52,31.76,33.41
FM-500-100-0.25-SAT-1,26.87,33.43,30.89,36.73,41.7
FM-500-100-0.50-SAT-1,29.88,31.39,33.66,33.35,37.15
FM-500-100-0.75-SAT-1,30.51,26.13,29.56,33.64,37.36
FM-500-100-1.00-SAT-1,21.26,21.1,24.5,25.28,27.0
HSMGP_num,1.18,3.41,4.02,4.34,8.98
HSQLDB,20.81,0.63,0.63,0.71,0.67
Health-ClosedIssues0000,13.96,13.55,14.28,17.13,17.38
Health-ClosedIssues0001,53.73,53.64,55.64,56.76,54.56
Health-ClosedIssues0002,19.44,20.56,20.83,21.14,21.14
Health-ClosedIssues0003,30.88,27.99,32.68,34.51,46.61
Health-ClosedIssues0004,56.4,62.07,65.01,69.17,67.89
Health-ClosedIssues0005,34.12,34.44,34.09,34.58,34.32
Health-ClosedIssues0006,29.86,24.02,23.79,25.85,28.23
Health-ClosedIssues0007,83.27,83.19,78.33,77.82,83.57
Health-ClosedIssues0008,22.21,19.27,21.7,28.44,30.15
Health-ClosedIssues0009,50.56,59.48,64.59,70.24,70.54
Health-ClosedIssues0010,66.49,65.58,66.96,68.89,70.18
Health-ClosedIssues0011,0.0,0.0,0.0,0.0,0.0
Health-ClosedPRs0000,0.0,0.0,0.0,0.0,0.0
Health-ClosedPRs0002,33.09,0.0,0.0,0.0,0.0
Health-ClosedPRs0003,1.26,1.26,1.26,1.26,1.26
Health-ClosedPRs0004,18.56,18.56,18.56,32.15,32.15
Health-ClosedPRs0005,0.0,0.0,0.0,0.0,0.0
Health-ClosedPRs0006,54.77,67.08,70.71,67.08,59.42
Health-ClosedPRs0007,0.0,0.0,0.0,0.0,0.0
Health-ClosedPRs0008,43.96,61.73,60.88,75.53,77.63
Health-ClosedPRs0009,64.93,66.12,65.14,67.88,66.27
Health-ClosedPRs0010,52.9,63.42,66.69,67.26,67.96
Health-ClosedPRs0011,0.0,0.0,0.0,0.0,0.0
Health-Commits0000,22.29,21.51,25.17,24.08,25.9
Health-Commits0001,3.3,3.3,3.3,3.3,3.3
Health-Commits0002,56.43,50.97,50.84,50.97,50.97
Health-Commits0003,45.56,47.0,48.02,51.92,48.03
Health-Commits0004,57.73,57.85,58.38,58.33,58.46
Health-Commits0005,33.16,24.77,40.27,34.67,23.07
Health-Commits0006,42.39,41.42,42.38,43.41,44.07
Health-Commits0007,28.47,44.69,39.22,31.64,25.29
Health-Commits0008,56.47,56.58,50.51,45.02,50.03
Health-Commits0009,22.28,27.58,24.43,27.32,26.39
Health-Commits0010,30.38,34.65,35.63,38.46,40.01
Health-Commits0011,0.0,0.0,0.0,0.0,0.0
LLVM,4.11,3.92,7.14,6.86,13.6
Life_Expectancy_Data,12.02,12.61,11.4,16.13,17.25
Loan,41.28,34.28,33.26,36.96,37.84
Marketing_Analytics,37.03,41.05,40.83,41.78,44.05
Medical_Data_and_Hospital_Readmissions,0.0,0.0,0.0,0.0,0.0
PostgreSQL,4.81,4.84,5.71,5.91,5.85
SQL_AllMeasurements,30.44,34.73,42.88,40.53,37.71
SS-A,6.7,7.4,7.99,10.68,13.74
SS-B,0.0,0.0,2.92,9.41,16.61
SS-C,17.17,17.76,15.76,17.43,19.94
SS-D,26.57,32.95,38.45,41.09,43.55
SS-E,20.91,24.21,34.69,39.91,41.23
SS-F,12.03,23.41,27.03,28.63,30.6
SS-G,12.34,20.63,27.21,31.22,29.29
SS-H,0.0,0.32,0.5,5.87,13.08
SS-I,18.88,19.37,19.26,23.5,25.38
SS-J,5.72,5.63,9.98,11.67,12.11
SS-K,21.59,32.33,29.68,32.77,37.81
SS-L,1.47,1.82,2.87,12.2,5.76
SS-M,0.5,0.63,0.5,0.5,0.55
SS-N,41.07,51.76,52.95,51.97,53.71
SS-O,7.92,16.0,17.45,17.36,20.03
SS-P,2.44,3.22,3.61,5.26,16.36
SS-Q,2.92,2.61,2.97,2.77,3.47
SS-R,15.82,17.27,16.78,20.22,23.59
SS-S,4.23,5.22,5.9,5.17,4.5
SS-T,6.73,10.67,10.37,11.94,12.27
SS-U,4.97,5.09,4.93,20.41,20.24
SS-V,7.52,19.68,17.23,14.99,11.03
SS-W,49.38,55.51,50.48,55.3,51.26
SS-X,32.21,40.68,37.43,40.15,42.24
Scrum100k,41.0,42.48,43.96,42.78,44.87
Scrum10k,27.94,26.15,27.4,35.24,39.08
Scrum1k,19.97,19.3,19.44,26.5,26.99
WA_Fn-UseC_-HR-Employee-Attrition,18.43,24.95,25.69,22.47,29.75
WA_Fn-UseC_-Telco-Customer-Churn,1.16,1.2,1.53,1.52,2.61
Wine_quality,36.58,34.16,45.98,43.61,43.55
X264_AllMeasurements,0.0,0.87,1.45,1.45,1.97
accessories,86.6,88.04,85.39,83.74,87.31
all_players,27.48,25.94,28.68,31.25,28.56
auto93,17.66,17.1,14.45,17.87,16.2
billing10k,27.04,26.4,26.49,32.06,32.33
coc1000,47.02,48.74,47.24,42.1,39.32
dataset120,20.24,37.69,20.24,24.79,14.31
dataset600,32.8,14.76,14.76,25.56,25.56
dconvert,8.4,12.0,13.61,14.46,14.7
deeparch,1.48,0.95,0.74,0.74,5.06
dress-up,58.58,66.52,66.59,67.18,70.74
exastencils,17.58,19.83,20.06,22.18,25.44
home_data_for_ml_course,42.72,47.57,46.63,48.3,48.28
javagc,5.05,5.16,5.67,5.62,7.66
nasa93dem,26.64,18.03,24.62,37.76,37.67
player_statistics_cleaned_final,9.98,12.4,12.87,11.17,14.42
pom3a,31.46,33.29,33.93,31.7,38.8
pom3b,38.23,34.13,31.32,32.12,35.31
pom3c,49.23,47.37,48.44,47.54,45.3
pom3d,34.25,27.1,31.03,27.25,24.06
redis,52.46,56.38,52.41,53.77,59.12
rs-6d-c3_obj1,0.5,0.84,0.84,0.92,0.81
rs-6d-c3_obj2,0.87,0.84,0.89,0.89,0.89
socks,6.26,10.84,12.52,10.84,0.0
sol-6d-c2-obj1,5.35,4.85,5.68,6.16,5.85
storm,0.87,0.95,1.05,0.84,0.81
student_dropout,0.0,0.0,0.0,0.0,0.0
wallpaper,51.5,51.43,59.91,59.76,51.03
wc+rs-3d-c4-obj1,0.0,2.28,2.28,5.28,5.25
wc+sol-3d-c4-obj1,0.0,1.75,2.09,5.05,4.99
wc+wc-3d-c4-obj1,0.5,4.99,1.87,2.36,1.84
wc-6d-c1-obj1,0.59,1.52,1.26,9.93,9.91
x264,36.14,43.99,44.0,47.44,55.95
xomo_flight,15.08,15.51,15.23,16.49,19.67
xomo_ground,25.13,27.03,27.72,26.47,27.94
xomo_osp,18.11,12.79,16.74,23.01,26.11
xomo_osp2,27.71,30.86,32.96,31.46,34.79
