dataset,near,xploit,xplor,adapt,bore,random
7z,84,2,22,8,7,8
A2C_Acrobot,51,45,64,58,46,58
A2C_CartPole,50,26,22,20,33,20
Apache_AllMeasurements,77,81,49,43,81,43
BDBC,95,1,0,4,6,4
BankChurners,35,25,53,16,15,16
Car_price_cleaned,96,40,41,39,43,39
Data_COVID19_Indonesia,99,2,2,2,0,2
FFM-1000-200-0.50-SAT-1,62,6,36,38,3,38
FFM-125-25-0.50-SAT-1,91,4,5,23,3,23
FFM-250-50-0.50-SAT-1,64,3,24,22,18,22
FFM-500-100-0.50-SAT-1,61,15,24,34,4,34
FM-500-100-0.25-SAT-1,50,20,25,27,14,27
FM-500-100-0.50-SAT-1,42,3,52,39,6,39
FM-500-100-0.75-SAT-1,81,3,32,24,3,24
FM-500-100-1.00-SAT-1,67,11,41,14,9,14
HSMGP_num,88,0,4,11,0,11
HSQLDB,80,0,0,20,0,20
Health-ClosedIssues0000,94,19,48,4,0,4
Health-ClosedIssues0001,95,5,0,6,10,6
Health-ClosedIssues0002,100,0,0,0,0,0
Health-ClosedIssues0003,100,0,1,0,0,0
Health-ClosedIssues0004,89,5,7,1,1,1
Health-ClosedIssues0005,100,0,0,0,0,0
Health-ClosedIssues0006,53,9,38,15,3,15
Health-ClosedIssues0007,61,27,6,24,15,24
Health-ClosedIssues0008,84,23,14,16,7,16
Health-ClosedIssues0009,86,0,21,6,0,6
Health-ClosedIssues0010,79,0,40,2,8,2
Health-ClosedIssues0011,83,2,17,2,4,2
Health-ClosedPRs0000,100,0,0,0,0,0
Health-ClosedPRs0002,100,0,0,0,0,0
Health-ClosedPRs0003,100,0,0,0,0,0
Health-ClosedPRs0004,79,2,21,3,3,3
Health-ClosedPRs0005,100,0,0,0,0,0
Health-ClosedPRs0006,57,2,22,2,58,2
Health-ClosedPRs0007,54,6,46,17,20,17
Health-ClosedPRs0008,86,6,0,12,3,12
Health-ClosedPRs0009,97,1,14,2,3,2
Health-ClosedPRs0010,96,14,6,1,8,1
Health-ClosedPRs0011,100,0,0,0,0,0
Health-Commits0000,96,9,11,4,0,4
Health-Commits0001,100,0,0,0,0,0
Health-Commits0002,68,34,2,0,8,0
Health-Commits0003,84,3,14,16,4,16
Health-Commits0004,81,3,12,7,5,7
Health-Commits0005,56,29,2,3,63,3
Health-Commits0006,100,0,0,0,0,0
Health-Commits0007,23,17,53,26,5,26
Health-Commits0008,34,25,8,49,36,49
Health-Commits0009,84,2,15,9,2,9
Health-Commits0010,100,0,0,2,0,2
Health-Commits0011,80,0,15,12,0,12
LLVM,89,11,2,9,23,9
Life_Expectancy_Data,88,5,8,9,15,9
Loan,66,26,11,13,13,13
Marketing_Analytics,49,21,10,40,23,40
Medical_Data_and_Hospital_Readmissions,21,22,26,41,19,41
PostgreSQL,68,33,0,0,12,0
SQL_AllMeasurements,19,9,54,36,3,36
SS-A,19,45,37,25,9,25
SS-B,76,57,44,42,52,42
SS-C,89,21,0,7,8,7
SS-D,78,57,55,54,52,54
SS-E,59,48,7,20,44,20
SS-F,82,76,46,46,67,46
SS-G,87,54,52,42,57,42
SS-H,71,43,48,23,59,23
SS-I,55,0,53,40,0,40
SS-J,39,51,44,8,48,8
SS-K,78,9,27,4,6,4
SS-L,100,0,2,0,0,0
SS-M,88,0,20,6,0,6
SS-N,63,2,63,13,1,13
SS-O,91,3,9,8,1,8
SS-P,100,5,1,0,7,0
SS-Q,100,0,0,0,0,0
SS-R,100,0,0,1,3,1
SS-S,50,36,9,20,32,20
SS-T,91,0,21,3,4,3
SS-U,96,0,13,7,0,7
SS-V,96,4,1,2,17,2
SS-W,50,28,18,21,17,21
SS-X,100,0,4,7,0,7
Scrum100k,59,23,24,12,28,12
Scrum10k,79,8,11,8,17,8
Scrum1k,50,2,20,44,14,44
WA_Fn-UseC_-HR-Employee-Attrition,73,12,18,10,18,10
WA_Fn-UseC_-Telco-Customer-Churn,95,8,0,0,1,0
Wine_quality,28,30,35,20,14,20
X264_AllMeasurements,100,0,2,14,0,14
accessories,17,47,48,34,0,34
all_players,46,16,18,27,20,27
auto93,47,8,19,43,10,43
billing10k,80,19,12,22,1,22
coc1000,40,17,31,27,10,27
dataset120,40,13,29,46,1,46
dataset600,14,28,42,22,20,22
dconvert,80,5,8,11,22,11
deeparch,81,7,7,10,18,10
dress-up,33,1,3,33,78,33
exastencils,45,14,48,25,15,25
home_data_for_ml_course,49,6,23,23,50,23
javagc,54,5,42,37,0,37
nasa93dem,83,74,85,77,87,77
player_statistics_cleaned_final,79,84,81,86,81,86
pom3a,20,35,36,35,13,35
pom3b,24,28,30,34,18,34
pom3c,41,37,23,24,19,24
pom3d,43,24,23,23,20,23
redis,47,13,36,26,11,26
rs-6d-c3_obj1,92,0,66,59,0,59
rs-6d-c3_obj2,24,18,69,34,15,34
socks,93,6,6,4,1,4
sol-6d-c2-obj1,40,8,31,18,24,18
storm,42,28,44,39,37,39
student_dropout,100,87,69,67,69,67
wallpaper,70,26,26,26,83,26
wc+rs-3d-c4-obj1,52,59,50,49,88,49
wc+sol-3d-c4-obj1,45,90,45,44,51,44
wc+wc-3d-c4-obj1,47,78,54,47,78,47
wc-6d-c1-obj1,32,21,52,28,4,28
x264,88,4,19,10,0,10
xomo_flight,56,6,29,14,36,14
xomo_ground,54,8,30,17,18,17
xomo_osp,69,10,15,26,11,26
xomo_osp2,21,13,28,25,40,25
