dataset,near,xploit,xplor,adapt,bore,random
7z,48,0,5,6,0,6
A2C_Acrobot,3,1,0,0,1,0
A2C_CartPole,0,0,0,0,0,0
Apache_AllMeasurements,78,92,42,36,92,36
BDBC,49,0,6,10,4,10
BankChurners,15,2,5,0,2,0
Car_price_cleaned,8,0,0,0,0,0
Data_COVID19_Indonesia,54,0,0,0,0,0
FFM-1000-200-0.50-SAT-1,0,0,0,0,0,0
FFM-125-25-0.50-SAT-1,0,0,0,0,0,0
FFM-250-50-0.50-SAT-1,0,0,0,0,0,0
FFM-500-100-0.50-SAT-1,0,0,0,0,0,0
FM-500-100-0.25-SAT-1,0,0,0,0,0,0
FM-500-100-0.50-SAT-1,0,0,0,0,0,0
FM-500-100-0.75-SAT-1,0,0,0,0,0,0
FM-500-100-1.00-SAT-1,0,0,0,0,0,0
HSMGP_num,37,0,0,0,0,0
HSQLDB,80,0,0,20,0,20
Health-ClosedIssues0000,59,25,54,0,1,0
Health-ClosedIssues0001,2,0,0,0,0,0
Health-ClosedIssues0002,66,0,0,0,0,0
Health-ClosedIssues0003,0,0,0,0,0,0
Health-ClosedIssues0004,0,0,0,0,0,0
Health-ClosedIssues0005,62,0,0,0,0,0
Health-ClosedIssues0006,0,0,0,0,0,0
Health-ClosedIssues0007,0,0,0,0,0,0
Health-ClosedIssues0008,0,0,0,0,0,0
Health-ClosedIssues0009,0,0,0,0,0,0
Health-ClosedIssues0010,0,0,0,0,0,0
Health-ClosedIssues0011,66,0,0,0,0,0
Health-ClosedPRs0000,100,0,0,0,0,0
Health-ClosedPRs0002,66,0,0,0,0,0
Health-ClosedPRs0003,100,0,0,0,0,0
Health-ClosedPRs0004,68,0,0,0,0,0
Health-ClosedPRs0005,77,0,0,0,0,0
Health-ClosedPRs0006,11,0,0,0,0,0
Health-ClosedPRs0007,0,0,0,0,0,0
Health-ClosedPRs0008,9,0,0,0,0,0
Health-ClosedPRs0009,0,0,0,0,0,0
Health-ClosedPRs0010,0,0,0,0,0,0
Health-ClosedPRs0011,100,0,0,0,0,0
Health-Commits0000,71,43,58,52,0,52
Health-Commits0001,100,0,0,0,0,0
Health-Commits0002,46,0,0,0,0,0
Health-Commits0003,0,0,0,0,0,0
Health-Commits0004,33,0,0,0,0,0
Health-Commits0005,11,1,0,0,0,0
Health-Commits0006,71,0,0,0,0,0
Health-Commits0007,7,0,3,2,0,2
Health-Commits0008,0,0,0,0,0,0
Health-Commits0009,0,0,0,0,0,0
Health-Commits0010,4,0,0,0,0,0
Health-Commits0011,66,0,0,0,0,0
LLVM,33,3,0,4,3,4
Life_Expectancy_Data,0,0,0,0,0,0
Loan,0,0,0,0,0,0
Marketing_Analytics,0,0,0,1,0,1
Medical_Data_and_Hospital_Readmissions,0,0,0,0,0,0
PostgreSQL,57,0,0,0,0,0
SQL_AllMeasurements,0,0,0,0,0,0
SS-A,1,2,0,0,0,0
SS-B,39,14,6,9,8,9
SS-C,38,21,0,0,20,0
SS-D,0,8,10,10,10,10
SS-E,21,29,18,18,29,18
SS-F,10,12,10,10,10,10
SS-G,10,6,10,10,10,10
SS-H,75,28,46,28,68,28
SS-I,5,0,0,0,0,0
SS-J,48,58,45,6,40,6
SS-K,18,0,0,0,3,0
SS-L,67,0,0,0,0,0
SS-M,81,0,20,5,0,5
SS-N,0,0,0,0,0,0
SS-O,0,0,0,0,0,0
SS-P,72,7,6,8,5,8
SS-Q,97,0,0,0,0,0
SS-R,43,0,0,0,0,0
SS-S,28,21,3,25,36,25
SS-T,4,0,0,0,0,0
SS-U,59,0,9,0,0,0
SS-V,33,0,0,0,0,0
SS-W,0,0,0,0,0,0
SS-X,24,0,2,2,0,2
Scrum100k,0,0,0,0,0,0
Scrum10k,0,0,0,0,0,0
Scrum1k,0,0,0,0,0,0
WA_Fn-UseC_-HR-Employee-Attrition,3,0,0,0,0,0
WA_Fn-UseC_-Telco-Customer-Churn,20,0,0,0,0,0
Wine_quality,0,0,0,0,0,0
X264_AllMeasurements,68,0,0,2,0,2
accessories,0,0,0,0,0,0
all_players,0,0,0,0,0,0
auto93,0,1,2,5,0,5
billing10k,0,0,0,0,0,0
coc1000,0,0,0,0,0,0
dataset120,18,12,9,6,0,6
dataset600,7,0,9,8,0,8
dconvert,30,0,0,6,0,6
deeparch,30,1,0,6,0,6
dress-up,0,0,0,0,0,0
exastencils,6,0,2,1,0,1
home_data_for_ml_course,0,0,0,0,0,0
javagc,0,0,0,0,0,0
nasa93dem,18,7,7,7,11,7
player_statistics_cleaned_final,20,29,33,33,25,33
pom3a,0,0,0,0,0,0
pom3b,0,0,0,0,0,0
pom3c,0,0,0,0,0,0
pom3d,0,0,0,0,0,0
redis,0,0,0,0,0,0
rs-6d-c3_obj1,68,1,58,50,0,50
rs-6d-c3_obj2,40,23,52,32,17,32
socks,28,3,0,4,1,4
sol-6d-c2-obj1,20,6,4,1,6,1
storm,37,17,36,39,35,39
student_dropout,96,86,69,67,75,67
wallpaper,21,0,0,0,22,0
wc+rs-3d-c4-obj1,10,13,10,10,44,10
wc+sol-3d-c4-obj1,10,22,10,10,10,10
wc+wc-3d-c4-obj1,10,10,10,10,12,10
wc-6d-c1-obj1,2,9,7,0,2,0
x264,0,0,0,0,0,0
xomo_flight,0,0,0,0,0,0
xomo_ground,0,0,0,0,0,0
xomo_osp,0,0,0,0,0,0
xomo_osp2,0,0,0,0,0,0
