dataset,10.0,20.0,50.0,100.0,200.0
7z,0.0,44.0,79.0,85.0,100.0
A2C_Acrobot,47.0,26.0,17.0,30.0,38.0
A2C_CartPole,83.0,89.0,23.0,19.0,23.0
Apache_AllMeasurements,30.0,24.0,27.0,31.0,42.0
BDBC,46.0,52.0,98.0,95.0,97.0
BankChurners,78.0,33.0,40.0,45.0,35.0
Car_price_cleaned,48.0,39.0,16.0,26.0,32.0
Data_COVID19_Indonesia,93.0,23.0,2.0,0.0,0.0
FFM-1000-200-0,13.0,24.0,42.0,90.0,97.0
FFM-125-25-0,24.0,60.0,51.0,67.0,84.0
FFM-250-50-0,15.0,50.0,93.0,89.0,92.0
FFM-500-100-0,26.0,65.0,82.0,75.0,82.0
FM-500-100-0,26.0,36.0,83.0,84.0,91.0
FM-500-100-1,24.0,19.0,76.0,41.0,67.0
HSMGP_num,1.0,31.0,80.0,95.0,99.0
HSQLDB,26.0,47.0,73.0,68.0,80.0
Health-ClosedIssues0000,94.0,73.0,71.0,70.0,67.0
Health-ClosedIssues0001,76.0,97.0,61.0,46.0,57.0
Health-ClosedIssues0002,64.0,66.0,69.0,51.0,53.0
Health-ClosedIssues0003,6.0,26.0,45.0,99.0,98.0
Health-ClosedIssues0004,2.0,5.0,70.0,56.0,100.0
Health-ClosedIssues0005,65.0,67.0,80.0,75.0,70.0
Health-ClosedIssues0006,56.0,65.0,70.0,87.0,89.0
Health-ClosedIssues0007,1.0,3.0,17.0,66.0,100.0
Health-ClosedIssues0008,33.0,26.0,34.0,56.0,100.0
Health-ClosedIssues0009,0.0,1.0,11.0,86.0,98.0
Health-ClosedIssues0010,2.0,1.0,77.0,94.0,100.0
Health-ClosedIssues0011,75.0,90.0,77.0,73.0,75.0
Health-ClosedPRs0000,58.0,68.0,68.0,68.0,68.0
Health-ClosedPRs0002,68.0,48.0,56.0,81.0,63.0
Health-ClosedPRs0003,52.0,49.0,62.0,70.0,82.0
Health-ClosedPRs0004,75.0,87.0,66.0,58.0,62.0
Health-ClosedPRs0005,64.0,79.0,58.0,83.0,81.0
