dataset,10.0,20.0,50.0,100.0,200.0
7z,8.88,6.26,7.8,8.16,7.0
A2C_Acrobot,46.73,39.32,42.46,39.92,39.44
A2C_CartPole,55.23,56.94,49.92,50.26,55.87
Apache_AllMeasurements,26.71,19.69,7.32,2.2,2.2
BDBC,17.64,1.34,1.55,1.47,1.53
BankChurners,63.03,60.67,31.78,34.72,31.68
Car_price_cleaned,53.8,48.73,41.35,28.5,28.5
Data_COVID19_Indonesia,58.34,49.77,33.23,16.87,10.86
FFM-1000-200-0,55.98,51.44,46.9,39.8,36.84
FFM-125-25-0,64.22,63.31,51.21,43.9,25.64
FFM-250-50-0,58.44,59.71,42.32,37.23,35.32
FFM-500-100-0,64.06,56.88,47.52,36.6,29.07
FM-500-100-0,53.01,51.65,47.59,38.9,30.84
FM-500-100-1,56.5,58.24,47.38,38.0,24.73
HSMGP_num,21.52,13.29,9.8,3.26,2.05
HSQLDB,12.14,6.15,1.1,0.67,0.59
Health-ClosedIssues0000,31.14,24.73,16.8,15.72,14.65
Health-ClosedIssues0001,57.65,56.39,60.19,63.73,65.36
Health-ClosedIssues0002,56.95,22.0,37.21,55.98,35.06
Health-ClosedIssues0003,76.18,59.09,53.79,41.89,52.0
Health-ClosedIssues0004,70.88,67.23,70.46,66.89,65.8
Health-ClosedIssues0005,48.75,38.29,37.75,45.45,51.51
Health-ClosedIssues0006,48.83,42.86,30.64,30.19,31.27
Health-ClosedIssues0007,94.94,92.01,94.84,91.45,81.55
Health-ClosedIssues0008,66.99,46.25,40.6,37.57,25.76
Health-ClosedIssues0009,85.17,81.95,68.8,56.57,48.51
Health-ClosedIssues0010,75.49,73.85,75.15,73.05,74.78
Health-ClosedIssues0011,44.49,37.48,48.55,43.48,23.7
Health-ClosedPRs0000,0.0,0.0,0.0,0.0,0.0
Health-ClosedPRs0002,47.12,33.09,0.0,33.09,5.69
Health-ClosedPRs0003,46.19,32.89,1.26,1.26,1.26
Health-ClosedPRs0004,75.66,73.27,40.79,37.79,47.63
Health-ClosedPRs0005,43.21,52.08,29.07,0.0,0.0
