dataset,ezr,causal
7z,3.1,3.44
A2C_Acrobot,19.49,22.66
A2C_CartPole,50.18,50.32
Apache_AllMeasurements,2.68,2.68
BDBC,0.84,0.81
BankChurners,24.78,25.18
Car_price_cleaned,31.53,35.05
Data_COVID19_Indonesia,16.63,21.32
FFM-1000-200-0.50-SAT-1,22.73,19.76
FFM-125-25-0.50-SAT-1,19.85,18.41
FFM-250-50-0.50-SAT-1,17.82,19.56
FFM-500-100-0.50-SAT-1,23.83,22.93
FM-500-100-0.25-SAT-1,21.89,19.97
FM-500-100-0.50-SAT-1,28.15,27.33
FM-500-100-0.75-SAT-1,26.26,25.25
FM-500-100-1.00-SAT-1,19.94,18.45
HSMGP_num,1.77,2.32
HSQLDB,0.77,0.77
Health-ClosedIssues0000,12.39,13.03
Health-ClosedIssues0001,47.64,46.62
Health-ClosedIssues0002,20.28,19.68
Health-ClosedIssues0003,26.42,25.95
Health-ClosedIssues0004,49.83,49.99
Health-ClosedIssues0005,33.18,33.14
Health-ClosedIssues0006,19.93,19.07
Health-ClosedIssues0007,82.9,80.21
Health-ClosedIssues0008,19.73,19.07
Health-ClosedIssues0009,42.53,44.28
Health-ClosedIssues0010,63.24,63.13
Health-ClosedIssues0011,0.0,0.0
Health-ClosedPRs0000,0.0,0.0
Health-ClosedPRs0002,0.0,0.0
Health-ClosedPRs0003,1.26,1.26
Health-ClosedPRs0004,0.0,0.0
Health-ClosedPRs0005,0.0,0.0
Health-ClosedPRs0006,49.9,49.9
Health-ClosedPRs0007,0.0,0.0
Health-ClosedPRs0008,36.2,36.98
Health-ClosedPRs0009,56.92,60.6
Health-ClosedPRs0010,56.24,56.9
Health-ClosedPRs0011,0.0,0.0
Health-Commits0000,19.99,20.15
Health-Commits0001,3.3,3.3
Health-Commits0002,48.95,47.43
Health-Commits0003,36.02,35.7
Health-Commits0004,56.81,56.63
Health-Commits0005,9.59,11.45
Health-Commits0006,30.89,32.18
Health-Commits0007,9.71,9.95
Health-Commits0008,33.93,33.79
Health-Commits0009,16.98,16.97
Health-Commits0010,27.65,27.43
Health-Commits0011,0.0,0.0
LLVM,5.39,3.66
Life_Expectancy_Data,8.51,8.2
Loan,30.79,32.13
Marketing_Analytics,20.72,25.95
Medical_Data_and_Hospital_Readmissions,0.0,0.0
PostgreSQL,2.79,3.02
SQL_AllMeasurements,20.95,20.54
SS-A,3.89,5.31
SS-B,2.46,9.08
SS-C,12.41,13.26
SS-D,17.14,17.43
SS-E,18.32,17.81
SS-F,14.26,15.18
SS-G,14.33,14.58
SS-H,0.59,4.28
SS-I,19.15,19.03
SS-J,4.26,3.38
SS-K,24.08,22.13
SS-L,2.69,2.65
SS-M,0.59,0.55
SS-N,40.42,39.35
SS-O,12.3,11.17
SS-P,3.06,2.53
SS-Q,3.32,2.75
SS-R,14.81,14.65
SS-S,3.77,3.19
SS-T,4.64,4.83
SS-U,4.4,3.71
SS-V,9.84,9.6
SS-W,37.25,37.87
SS-X,33.97,33.39
Scrum100k,30.48,31.49
Scrum10k,22.81,22.05
Scrum1k,14.99,12.22
WA_Fn-UseC_-HR-Employee-Attrition,13.02,15.04
WA_Fn-UseC_-Telco-Customer-Churn,1.14,1.12
Wine_quality,17.37,21.62
X264_AllMeasurements,1.22,1.2
accessories,81.31,81.31
all_players,16.2,19.45
auto93,10.21,8.84
billing10k,24.89,23.91
coc1000,22.03,20.8
dataset120,28.4,28.4
dataset600,14.76,0.0
dconvert,8.15,7.91
deeparch,4.53,0.74
dress-up,70.63,66.51
exastencils,13.27,11.34
home_data_for_ml_course,34.22,34.05
javagc,3.48,3.39
nasa93dem,10.53,8.44
player_statistics_cleaned_final,11.32,11.1
pom3a,17.12,16.22
pom3b,18.5,18.9
pom3c,28.8,29.31
pom3d,11.1,10.8
redis,42.39,41.27
rs-6d-c3_obj1,0.5,0.67
rs-6d-c3_obj2,0.87,0.87
socks,0.0,0.0
sol-6d-c2-obj1,4.84,4.78
storm,0.87,0.71
student_dropout,0.0,0.0
wallpaper,31.16,24.07
wc+rs-3d-c4-obj1,0.81,1.2
wc+sol-3d-c4-obj1,0.45,0.63
wc+wc-3d-c4-obj1,0.87,1.2
wc-6d-c1-obj1,1.91,2.2
x264,34.7,38.45
xomo_flight,14.83,15.28
xomo_ground,16.84,17.22
xomo_osp,9.7,11.68
xomo_osp2,14.81,16.85
