dataset,ezr,causal
7z,100,0
A2C_Acrobot,0,0
A2C_CartPole,0,0
Apache_AllMeasurements,53,52
BDBC,49,51
BankChurners,0,0
Car_price_cleaned,3,0
Data_COVID19_Indonesia,100,100
FFM-1000-200-0.50-SAT-1,0,0
FFM-125-25-0.50-SAT-1,0,0
FFM-250-50-0.50-SAT-1,0,0
FFM-500-100-0.50-SAT-1,0,0
FM-500-100-0.25-SAT-1,0,0
FM-500-100-0.50-SAT-1,0,0
FM-500-100-0.75-SAT-1,0,0
FM-500-100-1.00-SAT-1,0,0
HSMGP_num,15,68
HSQLDB,46,38
Health-ClosedIssues0000,63,42
Health-ClosedIssues0001,0,30
Health-ClosedIssues0002,0,10
Health-ClosedIssues0003,0,0
Health-ClosedIssues0004,0,0
Health-ClosedIssues0005,0,40
Health-ClosedIssues0006,0,0
Health-ClosedIssues0007,0,0
Health-ClosedIssues0008,0,0
Health-ClosedIssues0009,0,0
Health-ClosedIssues0010,0,0
Health-ClosedIssues0011,0,68
Health-ClosedPRs0000,100,100
Health-ClosedPRs0002,5,100
Health-ClosedPRs0003,0,100
Health-ClosedPRs0004,0,68
Health-ClosedPRs0005,0,46
Health-ClosedPRs0006,0,2
Health-ClosedPRs0007,0,0
Health-ClosedPRs0008,0,0
Health-ClosedPRs0009,0,0
Health-ClosedPRs0010,0,0
Health-ClosedPRs0011,2,56
Health-Commits0000,86,39
Health-Commits0001,0,19
Health-Commits0002,0,48
Health-Commits0003,0,0
Health-Commits0004,0,0
Health-Commits0005,13,10
Health-Commits0006,0,84
Health-Commits0007,29,7
Health-Commits0008,0,0
Health-Commits0009,0,0
Health-Commits0010,0,21
Health-Commits0011,0,68
LLVM,66,8
Life_Expectancy_Data,0,0
Loan,0,0
Marketing_Analytics,0,0
Medical_Data_and_Hospital_Readmissions,0,0
PostgreSQL,0,100
SQL_AllMeasurements,0,0
SS-A,22,13
SS-B,4,59
SS-C,46,0
SS-D,0,0
SS-E,0,0
SS-F,3,9
SS-G,15,15
SS-H,82,29
SS-I,0,0
SS-J,0,2
SS-K,100,0
SS-L,0,0
SS-M,2,99
SS-N,0,0
SS-O,0,0
SS-P,0,63
SS-Q,0,100
SS-R,0,25
SS-S,0,0
SS-T,8,21
SS-U,0,61
SS-V,0,0
SS-W,0,0
SS-X,0,48
Scrum100k,0,0
Scrum10k,0,0
Scrum1k,0,0
WA_Fn-UseC_-HR-Employee-Attrition,0,0
WA_Fn-UseC_-Telco-Customer-Churn,5,18
Wine_quality,0,0
X264_AllMeasurements,2,100
accessories,0,0
all_players,0,0
auto93,87,0
billing10k,0,0
coc1000,0,0
dataset120,26,10
dataset600,16,18
dconvert,1,16
deeparch,0,94
dress-up,0,0
exastencils,0,0
home_data_for_ml_course,0,0
javagc,0,0
nasa93dem,36,0
player_statistics_cleaned_final,52,15
pom3a,0,0
pom3b,0,0
pom3c,0,0
pom3d,0,0
redis,0,0
rs-6d-c3_obj1,100,0
rs-6d-c3_obj2,0,0
socks,21,7
sol-6d-c2-obj1,22,12
storm,35,31
student_dropout,97,23
wallpaper,5,15
wc+rs-3d-c4-obj1,100,46
wc+sol-3d-c4-obj1,76,51
wc+wc-3d-c4-obj1,47,15
wc-6d-c1-obj1,0,0
x264,0,0
xomo_flight,0,0
xomo_ground,0,0
xomo_osp,0,0
xomo_osp2,0,0
