dataset,kmeans,cure,hdbscan,ezr
7z,30,39,42,56
A2C_Acrobot,4,49,64,31
A2C_CartPole,28,53,57,36
Apache_AllMeasurements,1,14,15,93
BDBC,11,15,16,82
BankChurners,16,21,20,70
Car_price_cleaned,20,63,68,21
Data_COVID19_Indonesia,6,15,14,91
FFM-1000-200-0,36,43,49,14
FFM-125-25-0,32,34,39,31
FFM-250-50-0,50,40,52,11
FFM-500-100-0,28,62,55,5
FM-500-100-0,41,41,44,15
FM-500-100-1,35,40,38,23
HSMGP_num,32,63,64,27
HSQLDB,7,31,31,91
Health-ClosedIssues0000,1,15,19,89
Health-ClosedIssues0001,41,35,42,33
Health-ClosedIssues0002,90,78,85,1
Health-ClosedIssues0003,59,82,82,1
Health-ClosedIssues0004,92,78,81,0
Health-ClosedIssues0005,69,77,75,9
Health-ClosedIssues0006,53,67,70,6
Health-ClosedIssues0007,77,88,90,3
Health-ClosedIssues0008,47,58,64,11
Health-ClosedIssues0009,58,77,75,6
Health-ClosedIssues0010,94,77,77,0
Health-ClosedIssues0011,53,59,54,31
Health-ClosedPRs0000,96,100,100,100
Health-ClosedPRs0002,97,97,99,0
Health-ClosedPRs0003,94,93,96,1
Health-ClosedPRs0004,56,52,57,10
Health-ClosedPRs0005,77,76,74,17
Health-ClosedPRs0006,83,83,85,12
Health-ClosedPRs0007,78,76,70,14
Health-ClosedPRs0008,71,73,71,17
Health-ClosedPRs0009,76,89,87,2
Health-ClosedPRs0010,57,76,82,2
Health-ClosedPRs0011,97,99,100,29
Health-Commits0000,2,9,10,96
Health-Commits0001,92,79,78,15
Health-Commits0002,83,91,93,2
Health-Commits0003,63,73,71,0
Health-Commits0004,68,73,79,11
Health-Commits0005,24,35,30,59
Health-Commits0006,68,65,69,8
Health-Commits0007,18,36,43,53
Health-Commits0008,83,78,81,0
Health-Commits0009,72,84,88,4
Health-Commits0010,37,30,30,55
Health-Commits0011,86,71,71,5
LLVM,1,1,6,100
Life_Expectancy_Data,45,66,67,12
Loan,67,67,69,2
Marketing_Analytics,36,44,51,25
Medical_Data_and_Hospital_Readmissions,9,4,4,94
PostgreSQL,28,18,22,79
SQL_AllMeasurements,50,34,37,14
SS-A,41,56,62,34
SS-B,7,49,65,30
SS-C,42,47,55,39
SS-D,21,43,45,49
SS-E,15,20,21,78
SS-F,30,54,60,33
SS-G,38,38,42,41
SS-H,1,1,2,100
SS-I,31,57,62,28
SS-J,2,11,10,86
SS-K,27,24,30,58
SS-L,0,0,1,100
SS-M,3,18,17,100
SS-N,94,98,98,0
SS-O,24,68,64,16
SS-P,0,1,2,100
SS-Q,4,29,27,85
SS-R,9,41,39,56
SS-S,13,28,28,69
SS-T,14,36,31,62
SS-U,5,13,17,84
SS-V,0,1,2,99
SS-W,39,56,44,13
SS-X,15,39,31,52
Scrum100k,51,41,42,9
Scrum10k,48,50,48,13
Scrum1k,28,50,50,16
WA_Fn-UseC_-HR-Employee-Attrition,10,21,24,67
WA_Fn-UseC_-Telco-Customer-Churn,17,49,41,32
Wine_quality,63,59,66,0
X264_AllMeasurements,4,16,17,92
accessories,95,95,98,1
all_players,23,74,60,15
auto93,46,34,43,37
billing10k,27,48,52,26
coc1000,18,24,22,70
dataset120,15,25,30,70
dataset600,27,22,21,68
dconvert,18,31,32,55
deeparch,11,17,17,77
dress-up,100,100,100,0
exastencils,49,33,27,32
home_data_for_ml_course,69,89,94,0
javagc,91,84,88,0
nasa93dem,11,24,25,24
player_statistics_cleaned_final,2,22,40,6
pom3a,33,61,63,3
pom3b,39,58,42,8
pom3c,38,63,57,13
pom3d,38,50,54,13
redis,47,64,67,1
rs-6d-c3_obj1,11,6,9,86
rs-6d-c3_obj2,52,41,44,38
socks,51,53,83,17
sol-6d-c2-obj1,47,42,45,32
storm,26,33,23,50
student_dropout,16,18,22,100
wallpaper,29,46,49,48
wc+rs-3d-c4-obj1,20,31,41,46
wc+sol-3d-c4-obj1,19,51,47,40
wc+wc-3d-c4-obj1,19,37,38,50
wc-6d-c1-obj1,37,24,21,50
x264,89,85,89,0
xomo_flight,63,63,74,4
xomo_ground,65,73,82,0
xomo_osp,58,73,81,3
xomo_osp2,61,46,53,5
