dataset,kmeans,cure,hdbscan,ezr
7z,4.79,3.98,3.98,4.62
A2C_Acrobot,32.53,29.07,33.27,27.41
A2C_CartPole,52.75,52.33,49.67,48.19
Apache_AllMeasurements,7.85,4.47,4.43,1.34
BDBC,1.2,0.81,0.81,1.14
BankChurners,36.64,32.49,31.93,28.46
Car_price_cleaned,18.61,15.65,15.65,27.06
Data_COVID19_Indonesia,25.97,11.89,11.22,18.33
FFM-1000-200-0,30.37,20.6,25.29,20.8
FFM-125-25-0,29.3,29.28,27.18,20.96
FFM-250-50-0,28.94,21.54,23.52,23.03
FFM-500-100-0,29.98,25.66,27.88,26.14
FM-500-100-0,36.56,26.36,31.22,31.39
FM-500-100-1,27.07,18.97,25.19,21.1
HSMGP_num,8.59,2.67,2.67,3.41
HSQLDB,20.83,1.12,0.89,0.63
Health-ClosedIssues0000,27.68,16.74,15.69,13.55
Health-ClosedIssues0001,57.82,57.79,57.46,53.64
Health-ClosedIssues0002,21.14,20.56,19.96,20.56
Health-ClosedIssues0003,38.35,24.33,25.12,27.99
Health-ClosedIssues0004,60.93,63.79,60.13,62.07
Health-ClosedIssues0005,34.54,34.26,34.46,34.44
Health-ClosedIssues0006,34.41,27.7,27.77,24.02
Health-ClosedIssues0007,85.88,88.46,85.94,83.19
Health-ClosedIssues0008,32.96,24.62,24.18,19.27
Health-ClosedIssues0009,69.48,48.34,44.06,59.48
Health-ClosedIssues0010,67.97,67.35,66.81,65.58
Health-ClosedIssues0011,0.0,0.0,0.0,0.0
Health-ClosedPRs0000,0.0,0.0,0.0,0.0
Health-ClosedPRs0002,0.0,0.0,0.0,0.0
Health-ClosedPRs0003,1.26,1.26,1.26,1.26
Health-ClosedPRs0004,26.25,18.56,0.0,18.56
Health-ClosedPRs0005,0.0,0.0,0.0,0.0
Health-ClosedPRs0006,61.03,54.96,50.2,67.08
Health-ClosedPRs0007,0.0,0.0,0.0,0.0
Health-ClosedPRs0008,72.32,56.93,56.84,61.73
Health-ClosedPRs0009,65.19,63.37,61.86,66.12
Health-ClosedPRs0010,68.01,60.89,58.59,63.42
Health-ClosedPRs0011,0.0,0.0,0.0,0.0
Health-Commits0000,30.36,22.52,23.97,21.65
Health-Commits0001,3.3,3.3,3.3,3.3
Health-Commits0002,51.87,49.02,51.42,50.97
Health-Commits0003,56.52,48.12,48.21,47.0
Health-Commits0004,57.76,57.69,57.69,57.85
Health-Commits0005,33.76,25.59,33.27,24.77
Health-Commits0006,41.05,42.87,44.06,41.42
Health-Commits0007,40.7,24.93,24.34,44.69
Health-Commits0008,59.87,52.59,52.31,56.58
Health-Commits0009,27.67,25.37,25.24,27.58
Health-Commits0010,32.66,28.58,29.18,34.65
Health-Commits0011,0.0,0.0,0.0,0.0
LLVM,12.85,7.07,6.58,3.92
Life_Expectancy_Data,18.23,8.09,7.82,12.61
Loan,47.65,46.84,48.07,34.28
Marketing_Analytics,41.34,46.08,45.82,41.05
Medical_Data_and_Hospital_Readmissions,0.0,0.0,0.0,0.0
PostgreSQL,4.75,4.87,5.33,4.84
SQL_AllMeasurements,33.13,27.36,28.25,34.73
