dataset,kmeans,cure,hdbscan,ezr
7z,8,19,19,42
A2C_Acrobot,0,3,5,0
A2C_CartPole,1,2,3,0
Apache_AllMeasurements,15,38,39,87
BDBC,25,31,30,53
BankChurners,0,0,1,20
Car_price_cleaned,5,26,29,5
Data_COVID19_Indonesia,0,1,1,43
FFM-1000-200-0,0,2,1,0
FFM-125-25-0,0,0,0,0
FFM-250-50-0,0,0,1,0
FFM-500-100-0,0,0,0,0
FM-500-100-0,0,0,0,0
FM-500-100-1,0,0,1,0
HSMGP_num,53,59,59,61
HSQLDB,36,48,50,85
Health-ClosedIssues0000,5,16,18,63
Health-ClosedIssues0001,3,2,4,4
Health-ClosedIssues0002,100,100,100,66
Health-ClosedIssues0003,22,31,33,0
Health-ClosedIssues0004,32,29,31,0
Health-ClosedIssues0005,66,67,67,60
Health-ClosedIssues0006,21,19,18,0
Health-ClosedIssues0007,68,78,76,0
Health-ClosedIssues0008,0,2,2,0
Health-ClosedIssues0009,36,61,61,0
Health-ClosedIssues0010,44,29,27,0
Health-ClosedIssues0011,64,65,66,66
Health-ClosedPRs0000,96,100,100,100
Health-ClosedPRs0002,97,98,100,66
Health-ClosedPRs0003,96,97,99,100
Health-ClosedPRs0004,78,78,80,72
Health-ClosedPRs0005,76,74,71,85
Health-ClosedPRs0006,77,75,75,1
Health-ClosedPRs0007,67,67,65,0
Health-ClosedPRs0008,71,76,74,0
Health-ClosedPRs0009,38,48,47,0
Health-ClosedPRs0010,29,44,48,0
Health-ClosedPRs0011,97,99,100,100
Health-Commits0000,3,15,15,73
Health-Commits0001,93,90,88,99
Health-Commits0002,94,98,98,66
Health-Commits0003,28,29,27,0
Health-Commits0004,47,60,63,0
Health-Commits0005,15,19,17,24
Health-Commits0006,76,75,76,61
Health-Commits0007,14,29,32,38
Health-Commits0008,15,20,22,0
Health-Commits0009,50,54,57,0
Health-Commits0010,25,25,27,8
Health-Commits0011,65,66,66,66
LLVM,0,0,1,27
Life_Expectancy_Data,13,18,23,0
Loan,0,0,0,0
Marketing_Analytics,0,0,0,0
Medical_Data_and_Hospital_Readmissions,0,0,0,0
PostgreSQL,34,36,38,37
SQL_AllMeasurements,0,0,0,0
SS-A,30,34,36,28
SS-B,32,64,70,60
SS-C,4,7,11,18
SS-D,19,25,27,5
SS-E,1,2,1,7
SS-F,12,21,21,2
SS-G,19,26,26,7
SS-H,0,0,3,87
SS-I,12,18,18,0
SS-J,1,9,10,38
SS-K,0,0,0,24
SS-L,0,1,0,89
SS-M,20,37,36,84
SS-N,0,0,0,0
SS-O,0,8,7,0
SS-P,1,5,4,72
SS-Q,23,40,40,55
SS-R,5,19,19,32
SS-S,20,25,25,40
SS-T,14,29,26,3
SS-U,4,8,5,43
SS-V,0,1,2,49
SS-W,0,0,0,0
SS-X,4,28,21,18
Scrum100k,0,0,0,0
Scrum10k,0,0,0,0
Scrum1k,0,0,0,0
WA_Fn-UseC_-HR-Employee-Attrition,0,1,0,0
WA_Fn-UseC_-Telco-Customer-Churn,28,41,36,33
Wine_quality,0,0,0,0
X264_AllMeasurements,16,30,29,50
accessories,83,84,81,0
all_players,0,3,1,0
auto93,30,23,29,12
billing10k,0,0,0,0
coc1000,0,0,0,0
dataset120,3,10,11,18
dataset600,6,9,10,4
dconvert,23,30,29,32
deeparch,2,8,10,36
dress-up,100,100,100,0
exastencils,0,1,1,1
home_data_for_ml_course,0,3,2,0
javagc,50,45,52,0
nasa93dem,53,72,74,61
player_statistics_cleaned_final,17,65,87,43
pom3a,0,0,0,0
pom3b,0,0,0,0
pom3c,0,0,0,0
pom3d,0,0,0,0
redis,0,0,0,0
rs-6d-c3_obj1,20,19,20,57
rs-6d-c3_obj2,58,53,52,41
socks,53,49,67,20
sol-6d-c2-obj1,12,13,13,31
storm,8,13,11,15
student_dropout,16,18,22,100
wallpaper,24,35,35,26
wc+rs-3d-c4-obj1,34,45,46,36
wc+sol-3d-c4-obj1,29,51,52,35
wc+wc-3d-c4-obj1,22,41,39,41
wc-6d-c1-obj1,0,0,0,4
x264,0,0,0,0
xomo_flight,0,0,0,0
xomo_ground,0,0,1,0
xomo_osp,0,0,0,0
xomo_osp2,0,0,0,0
